id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19019801,Two rooms/private bath - 10 mins from Downtown.,130926442,Quinn,,78749,30.21542064357875,-97.8571810257558,Private room,89,1,9,2018-04-29,0.46,3,0
19020085,2 Rooms / 1 bath - 8 mi from Zilker (ACL).,130926442,Quinn,,78749,30.217325366156036,-97.85913683732193,Entire home/apt,129,2,5,2018-10-15,0.25,3,0
19020738,Quiet casita in the heart of the city,132726744,Victoria,,78703,30.27848589263155,-97.75405194526293,Private room,59,1,17,2018-12-09,1.02,1,0
19024293,Perfect South ATX location !,91516482,Belen,,78748,30.174905992533663,-97.79945858423152,Entire home/apt,251,2,13,2017-11-12,0.66,1,0
19030405,"Comfortable room, 10 minutes to downtown!",34491986,Ethan,,78723,30.289829329042306,-97.66920999359458,Private room,56,1,9,2018-11-18,0.82,2,326
19031423,Clarksville Hideaway,118565935,The Renters Club,,78703,30.282270767680966,-97.76288257117696,Entire home/apt,3270,3,0,,,81,360
19032678,"WALK TO W 6th, SXSW Sweetheart of Clarksville",32777712,Lucy,,78703,30.284680752549743,-97.76336582497304,Entire home/apt,85,2,35,2019-01-21,1.71,1,281
19033233,Comfort Retreat (Parisienne),105411733,Alllines,,78749,30.20418315800505,-97.8577935174925,Private room,38,2,1,2018-05-25,0.12,2,180
19035763,Experience Austin!  Great house w/ yard and deck!,28461613,Amy,,78702,30.27830687628753,-97.7107424598436,Entire home/apt,450,2,12,2019-01-02,0.69,1,145
19037916,STYLISH FLAT | 4TH ST DOWNTOWN | TRENDY EAST SIDE,132379427,Joch,,78702,30.26017781926079,-97.72424284232441,Entire home/apt,104,1,18,2019-01-03,2.06,1,36
19038266,Hip Central Austin House w/ Queen Bed,22903590,Singer,,78752,30.323649908376513,-97.71943659700622,Entire home/apt,165,4,9,2018-05-20,0.56,2,67
19046404,Private room and bath in apartment by renter,108264667,Carla,,78705,30.291062418394667,-97.75100236372315,Private room,30,1,7,2017-07-26,0.35,1,0
